1;1;Santa Rosalía
2;1;El Valle
3;1;Coche
4;1;Caricuao
5;1;Macarao
6;1;Antímano
7;1;La Vega
8;1;El Paraíso
9;1;El Junquito
10;1;Sucre (Catia)
11;1;San Juan
12;1;Santa Teresa
13;1;23 de enero
14;1;La Pastora
15;1;Altagracia
16;1;San José
17;1;San Bernardino
18;1;Catedral
19;1;Candelaria
20;1;San Agustín
21;1;El Recreo
22;1;San Pedro
23;2;Baruta
24;2;El Cafetal
25;2;Las Minas
26;2;Nuestra Señora del Rosario
27;3;chacao
28;4;hatillo
29;5;Leoncio Martínez
30;5;Petare
31;5;Caucagüita
32;5;Fila de Mariches
33;5;La Dolorita
